x,u
0.00495049,-0.0131121
0.00990099,-0.0261102
0.0148515,-0.038881
0.019802,-0.0513136
0.0247525,-0.0632996
0.029703,-0.0747349
0.0346535,-0.0855198
0.039604,-0.0955607
0.0445545,-0.10477
0.0495049,-0.113068
0.0544554,-0.120382
0.0594059,-0.126648
0.0643564,-0.131812
0.0693069,-0.13583
0.0742574,-0.138665
0.0792079,-0.140294
0.0841584,-0.140702
0.0891089,-0.139886
0.0940594,-0.137853
0.0990099,-0.13462
0.10396,-0.130216
0.108911,-0.124679
0.113861,-0.118057
0.118812,-0.110408
0.123762,-0.101798
0.128713,-0.092302
0.133663,-0.082003
0.138614,-0.0709906
0.143564,-0.0593604
0.148515,-0.0472137
0.153465,-0.0346562
0.158416,-0.0217972
0.163366,-0.00874848
0.168317,0.00437636
0.173267,0.0174631
0.178218,0.0303979
0.183168,0.0430682
0.188119,0.0553638
0.193069,0.0671776
0.19802,0.0784069
0.20297,0.0889539
0.207921,0.098727
0.212871,0.107641
0.217822,0.115618
0.222772,0.12259
0.227723,0.128494
0.232673,0.133281
0.237624,0.136908
0.242574,0.139343
0.247525,0.140566
0.252475,0.140566
0.257426,0.139343
0.262376,0.136908
0.267327,0.133281
0.272277,0.128494
0.277228,0.12259
0.282178,0.115618
0.287129,0.107641
0.292079,0.098727
0.29703,0.0889539
0.30198,0.0784069
0.306931,0.0671776
0.311881,0.0553638
0.316832,0.0430682
0.321782,0.0303979
0.326733,0.0174631
0.331683,0.00437636
0.336634,-0.00874848
0.341584,-0.0217972
0.346535,-0.0346562
0.351485,-0.0472137
0.356436,-0.0593604
0.361386,-0.0709906
0.366337,-0.082003
0.371287,-0.092302
0.376238,-0.101798
0.381188,-0.110408
0.386139,-0.118057
0.391089,-0.124679
0.39604,-0.130216
0.40099,-0.13462
0.405941,-0.137853
0.410891,-0.139886
0.415842,-0.140702
0.420792,-0.140294
0.425743,-0.138665
0.430693,-0.13583
0.435644,-0.131812
0.440594,-0.126648
0.445545,-0.120382
0.450495,-0.113068
0.455446,-0.10477
0.460396,-0.0955607
0.465347,-0.0855198
0.470297,-0.0747349
0.475248,-0.0632996
0.480198,-0.0513136
0.485149,-0.038881
0.490099,-0.0261102
0.495049,-0.0131121
